id,YEAR,MONTH,TEMP,PRCP
108,1993,9,59.23,1.92
108,1993,10,48.34,5.23
108,1993,11,29.78,5.95
108,1993,12,28.16,7.87
108,1994,1,31.38,9.97
108,1994,2,29.43,14.77
108,1994,3,42.26,3.5
108,1994,4,49.68,8.95
108,1994,5,58.83,9.16
108,1994,6,65.11,3.28
108,1994,7,73.28,2.61
108,1994,8,72.28,1.87
108,1994,9,63.02,2.91
108,1994,10,46.8,8.05
108,1994,11,30.25,19.56
108,1994,12,27.68,16.36
108,1995,1,29.12,5.2
108,1995,2,36.44,2.02
108,1995,3,39.14,2.75
108,1995,4,45.49,3.66
108,1995,5,53.57,2.22
108,1995,6,59.93,2.1
108,1995,7,69.44,0.2
108,1995,8,67.9,0.78
108,1995,9,60.89,0.39
108,1995,10,45.85,0.57
108,1995,11,40.1,1.56
108,1995,12,30.25,1.86
108,1996,1,27.32,3.65
108,1996,2,28.8,1.59
108,1996,3,38.96,1.29
108,1996,4,47.01,1.16
108,1996,5,52.28,1.14
108,1996,6,64.14,0.4
108,1996,7,73.48,3.95
108,1996,8,70.11,2.93
108,1996,9,57.38,5.69
108,1996,10,47.56,5.94
108,1996,11,36.87,11.28
108,1996,12,29.85,13.13
108,1997,1,27.54,4.4
108,1997,2,30.46,1.75
108,1997,3,39.23,1.44
108,1997,4,43.7,1.32
108,1997,5,58.45,0.23
108,1997,6,63.4,0.46
108,1997,7,68.49,0.04
108,1997,8,70.27,0.45
108,1997,9,61.86,0.47
108,1997,10,46.54,0.87
108,1997,11,36.35,0.23
108,1997,12,25.07,1.06
108,1998,1,32.13,1.81
108,1998,2,33.72,0.25
108,1998,3,38.58,0.66
108,1998,4,46.16,0.89
108,1998,5,53.86,0.51
108,1998,6,59.73,0.73
108,1998,7,75.0,0.24
108,1998,8,72.54,0.23
108,1998,9,64.19,0.26
108,1998,10,47.32,0.22
108,1998,11,39.01,0.9
108,1998,12,27.13,2.39
108,1999,1,30.32,6.34
108,1999,2,32.45,6.04
108,1999,3,38.96,2.79
108,1999,4,43.08,3.97
108,1999,5,52.02,3.97
108,1999,6,61.14,1.3
108,1999,7,69.46,0.36
108,1999,8,69.91,3.25
108,1999,9,58.32,0.38
108,1999,10,49.2,0.92
108,1999,11,41.27,1.76
108,1999,12,27.44,4.34
108,2000,1,28.38,5.82
108,2000,2,34.4,5.08
108,2000,3,38.17,4.78
108,2000,4,49.87,2.97
108,2000,5,55.57,2.87
108,2000,6,64.91,1.35
108,2000,7,71.94,1.13
108,2000,8,71.54,1.52
108,2000,9,57.85,1.98
108,2000,10,46.98,3.02
108,2000,11,27.25,6.49
108,2000,12,25.19,3.43
108,2001,1,21.97,4.91
108,2001,2,27.1,4.93
108,2001,3,39.65,2.25
108,2001,4,44.4,2.76
108,2001,5,57.72,1.08
108,2001,6,62.06,2.12
108,2001,7,69.86,1.63
108,2001,8,71.79,1.54
108,2001,9,61.83,1.38
108,2001,10,47.26,1.45
108,2001,11,38.55,3.19
108,2001,12,24.16,5.23
108,2002,1,25.53,4.52
108,2002,2,24.96,1.92
108,2002,3,33.66,2.96
108,2002,4,45.57,1.76
108,2002,5,53.43,1.39
108,2002,6,63.06,1.49
108,2002,7,72.79,1.11
108,2002,8,65.41,1.25
108,2002,9,58.87,1.43
108,2002,10,43.5,1.54
108,2002,11,34.69,2.17
108,2002,12,32.33,4.27
108,2003,1,32.71,2.58
108,2003,2,29.55,3.8
108,2003,3,39.8,3.5
108,2003,4,44.28,4.43
108,2003,5,53.87,2.57
108,2003,6,64.31,0.89
108,2003,7,75.32,0.48
108,2003,8,71.67,1.53
108,2003,9,59.57,1.28
108,2003,10,51.29,0.93
108,2003,11,31.0,2.61
108,2003,12,30.56,2.83
108,2004,1,22.81,2.41
108,2004,2,27.29,3.49
108,2004,3,41.53,0.94
108,2004,4,47.6,2.6
108,2004,5,52.95,2.75
108,2004,6,62.28,2.22
108,2004,7,70.26,2.41
108,2004,8,67.52,2.17
108,2004,9,56.49,2.35
108,2004,10,47.35,2.2
108,2004,11,33.9,3.05
108,2004,12,29.94,2.32
108,2005,1,25.63,1.74
108,2005,2,28.25,1.49
108,2005,3,38.15,1.62
108,2005,4,44.52,0.6
108,2005,5,53.08,0.36
108,2005,6,57.67,0.89
108,2005,7,70.94,0.67
108,2005,8,68.07,1.49
